condition,quantity,model,index,x_he,y,yerr
150_5000,mu_h,MACE,10,0.328125,-0.035858134,0.000873492501
150_5000,mu_h,MACE,11,0.265625,-0.035031928,0.000753377231
150_5000,mu_h,MACE,12,0.234375,-0.0343399357,0.00068609825
150_5000,mu_h,MACE,13,0.1875,-0.0325139854,0.000590923816
150_5000,mu_h,MACE,14,0.15625,-0.0306350144,0.000529658178
150_5000,mu_h,MACE,15,0.140625,-0.0294953338,0.000495189789
150_5000,mu_h,MACE,16,0.078125,-0.021716534,0.000309819071
150_5000,mu_h,MACE,17,0.046875,-0.0150444295,0.000201006459
150_5000,mu_h,MACE,18,0.015625,-0.0056800062,8.36534417e-05
800_7000,integrand_he,CACE,0,0.984375,0.459784813,0.184020842
800_7000,integrand_he,CACE,1,0.953125,0.401491755,0.0854141093
800_7000,integrand_he,CACE,2,0.921875,0.370024006,0.0511180997
800_7000,integrand_he,CACE,3,0.859375,0.147999127,0.0453779013
800_7000,integrand_he,CACE,4,0.796875,0.00728975174,0.000410342427
800_7000,integrand_he,CACE,5,0.734375,0.00139027655,0.000720324577
800_7000,integrand_he,CACE,6,0.609375,9.39872134e-09,0.0308808721
800_7000,integrand_he,CACE,7,0.546875,5.18163805e-10,0.0026433112
800_7000,integrand_he,CACE,8,0.484375,6.66237462e-09,0.0138911644
800_7000,integrand_he,CACE,9,0.453125,3.6964371e-09,0.00788285473
800_7000,integrand_he,CACE,10,0.421875,2.75076044e-09,0.00874644508
800_7000,integrand_he,CACE,11,0.390625,1.43873766e-08,0.0259948904
800_7000,integrand_he,CACE,12,0.359375,1.27235133e-09,0.0056242514
800_7000,integrand_he,CACE,13,0.328125,3.72789873e-08,0.0579733005
800_7000,integrand_he,CACE,14,0.296875,7.06599618e-10,0.00335885709
800_7000,integrand_he,CACE,15,0.265625,1.41945556e-08,0.109457544
800_7000,integrand_he,CACE,16,0.234375,2.92861793e-09,0.00668331965
800_7000,integrand_he,CACE,17,0.203125,0.00308926416,0.000546420773
800_7000,integrand_he,CACE,18,0.1875,-8.61883666e-10,0.000114189805
800_7000,integrand_he,CACE,19,0.171875,0.0923602935,0.00667858945
800_7000,integrand_he,CACE,20,0.15625,0.127175184,0.00722702553
800_7000,integrand_he,CACE,21,0.140625,0.23323061,0.0106767921
800_7000,integrand_he,CACE,22,0.109375,0.345830886,0.00690980299
800_7000,integrand_he,CACE,23,0.078125,0.515361211,0.057366728
800_7000,integrand_he,CACE,24,0.046875,0.703385683,0.0296761749
800_7000,integrand_he,CACE,25,0.015625,0.924328748,0.118303493
800_7000,mu_he,CACE,0,0.984375,-0.0045261426,0.000218236058
800_7000,mu_he,CACE,1,0.953125,-0.0129496205,0.0006007726
800_7000,mu_he,CACE,2,0.921875,-0.0207467833,0.000669659078
800_7000,mu_he,CACE,3,0.859375,-0.0317719572,0.00102878265
800_7000,mu_he,CACE,4,0.796875,-0.0353266624,0.00114979407
800_7000,mu_he,CACE,5,0.734375,-0.035541594,0.00103696744
800_7000,mu_he,CACE,6,0.609375,-0.0356202359,0.000957278404
800_7000,mu_he,CACE,7,0.546875,-0.0356202361,0.000886266977
800_7000,mu_he,CACE,8,0.484375,-0.0356202364,0.000829027422
800_7000,mu_he,CACE,9,0.453125,-0.0356202367,0.000781614815
800_7000,mu_he,CACE,10,0.421875,-0.035620237,0.000741504952
