pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHHe,vdW-DF,0.5,1000,80.0,1.6065,1.54617375
gHHe,vdW-DF,0.5,1000,80.0,1.6355,1.428827333333
gHHe,vdW-DF,0.5,1000,80.0,1.6645,1.28717
gHHe,vdW-DF,0.5,1000,80.0,1.6935,1.18162
gHHe,vdW-DF,0.5,1000,80.0,1.7225,1.073568125
gHHe,vdW-DF,0.5,1000,80.0,1.7515,0.9812174375
gHHe,vdW-DF,0.5,1000,80.0,1.7805,0.8983163333333
gHHe,vdW-DF,0.5,1000,80.0,1.8095,0.8282010625
gHHe,vdW-DF,0.5,1000,80.0,1.8385,0.7729841333333
gHHe,vdW-DF,0.5,1000,80.0,1.8675,0.7321503125
gHHe,vdW-DF,0.5,1000,80.0,1.8965,0.7009838666667
gHHe,vdW-DF,0.5,1000,80.0,1.9255,0.66932075
gHHe,vdW-DF,0.5,1000,80.0,1.9545,0.6539208666667
gHHe,vdW-DF,0.5,1000,80.0,1.9835,0.6439445625
gHHe,vdW-DF,0.5,1000,80.0,2.0125,0.6419092
gHHe,vdW-DF,0.5,1000,80.0,2.0415,0.6441256875
gHHe,vdW-DF,0.5,1000,80.0,2.0705,0.652385
gHHe,vdW-DF,0.5,1000,80.0,2.0995,0.673985125
gHHe,vdW-DF,0.5,1000,80.0,2.1285,0.7050119375
gHHe,vdW-DF,0.5,1000,80.0,2.1575,0.7434954
gHHe,vdW-DF,0.5,1000,80.0,2.1865,0.7720224375
gHHe,vdW-DF,0.5,1000,80.0,2.2155,0.8079926666667
gHHe,vdW-DF,0.5,1000,80.0,2.2445,0.844786
gHHe,vdW-DF,0.5,1000,80.0,2.2735,0.8995141333333
gHHe,vdW-DF,0.5,1000,80.0,2.3025,0.9360585
gHHe,vdW-DF,0.5,1000,80.0,2.3315,0.9715546666667
gHHe,vdW-DF,0.5,1000,80.0,2.3605,1.0055226875
gHHe,vdW-DF,0.5,1000,80.0,2.3895,1.001694733333
gHHe,vdW-DF,0.5,1000,80.0,2.4185,0.9927374375
gHHe,vdW-DF,0.5,1000,80.0,2.4475,0.9595724375
gHHe,vdW-DF,0.5,1000,80.0,2.4765,0.9146032
gHHe,vdW-DF,0.5,1000,80.0,2.5055,0.8720335625
gHHe,vdW-DF,0.5,1000,80.0,2.5345,0.8087026666667
gHHe,vdW-DF,0.5,1000,80.0,2.5635,0.7408596875
gHHe,vdW-DF,0.5,1000,80.0,2.5925,0.6732485333333
gHHe,vdW-DF,0.5,1000,80.0,2.6215,0.61324225
gHHe,vdW-DF,0.5,1000,80.0,2.6505,0.5505286
gHHe,vdW-DF,0.5,1000,80.0,2.6795,0.4819833125
gHHe,vdW-DF,0.5,1000,80.0,2.7085,0.4240750666667
gHHe,vdW-DF,0.5,1000,80.0,2.7375,0.3817138125
gHHe,vdW-DF,0.5,1000,80.0,2.7665,0.3377813125
gHHe,vdW-DF,0.5,1000,80.0,2.7955,0.299035
gHHe,vdW-DF,0.5,1000,80.0,2.8245,0.2691254375
gHHe,vdW-DF,0.5,1000,80.0,2.8535,0.2414727333333
gHHe,vdW-DF,0.5,1000,80.0,2.8825,0.2187621875
gHHe,vdW-DF,0.5,1000,80.0,2.9115,0.1986888666667
gHHe,vdW-DF,0.5,1000,80.0,2.9405,0.1798950625
gHHe,vdW-DF,0.5,1000,80.0,2.9695,0.1618084666667
gHHe,vdW-DF,0.5,1000,80.0,2.9985,0.1450725625
gHHe,vdW-DF,0.5,1000,80.0,3.0275,0.1264538
gHHe,vdW-DF,0.5,1000,80.0,3.0565,0.10784468125
gHHe,vdW-DF,0.5,1000,80.0,3.0855,0.09004676
gHHe,vdW-DF,0.5,1000,80.0,3.1145,0.07557144375
gHHe,vdW-DF,0.5,1000,80.0,3.1435,0.0596600125
gHHe,vdW-DF,0.5,1000,80.0,3.1725,0.05021656666667
gHHe,vdW-DF,0.5,1000,80.0,3.2015,0.03814171875
gHHe,vdW-DF,0.5,1000,80.0,3.2305,0.0312639875
gHHe,vdW-DF,0.5,1000,80.0,3.2595,nan
gHHe,vdW-DF,0.5,1000,80.0,3.2885,nan
gHHe,vdW-DF,0.5,1000,80.0,3.3175,nan
gHHe,vdW-DF,0.5,1000,80.0,3.3465,nan
gHHe,vdW-DF,0.5,1000,80.0,3.3755,nan
gHHe,vdW-DF,0.5,1000,80.0,3.4045,nan
