method,x_he,temperature_K,volume_A3,pressure_GPa_used,energy_eV_per_atom,rho_invA3_used,density_g_cm3
vdW-DF,0.125,4000,40.00002,2133.81,3.84743,1.499999250000375,3.1753811810110832
vdW-DF,0.125,4000,38.30238,2333.33,4.21474,1.5664822917009336,3.3161205843623023
vdW-DF,0.125,4000,37.99998,2374.09,4.29919,1.5789481994464207,3.3425099367964655
vdW-DF,0.125,4000,37.00002,2507.28,4.53693,1.6216207450698676,3.432844380842685
vdW-DF,0.125,4000,36.0,2648.5499999999997,4.77162,1.6666666666666667,3.5282030763351933
vdW-DF,0.125,4000,34.00002,2976.05,5.3223,1.764704844291268,3.735742236271242
vdW-DF,0.125,4000,31.999979999999997,3365.5299999999997,5.94338,1.8750011718757327,3.9692309416464315
vdW-DF,0.125,4000,30.0,3833.8999999999996,6.65011,2.0,4.233843691602232
vdW-DF,0.125,4000,28.00002,4404.780000000001,7.46255,2.142855612245991,4.536257857961065
vdW-DF,0.125,4000,24.0,5994.1,9.50039,2.5,5.2923046145027905
vdW-DF,0.125,4000,22.000020000000003,7126.83,10.8033,2.7272702479361377,5.773417967259436
vdW-DF,0.125,4000,19.99998,8610.13,12.3675,3.000003000003,6.3507718881752355
vdW-DF,0.125,4000,18.0,10609.2,14.2817,3.3333333333333335,7.0564061526703865
vdW-DF,0.125,4000,16.00002,13401.699999999999,16.6768,3.7499953125058596,7.938446998695437
vdW-DF,0.125,4000,13.99998,17482.9,19.7539,4.285720408172011,9.072535157055006
vdW-DF,0.125,4000,12.0,23836.0,23.8724,5.0,10.584609229005581
vdW-DF,0.125,6000,319.9998,31.0833,-1.92912,0.18750011718757326,0.3969230941646431
vdW-DF,0.125,6000,275.9538,40.5099,-1.80964,0.217427699854106,0.46027744770344514
vdW-DF,0.125,6000,173.8068,100.1,-1.34869,0.3452108893322931,0.7307844730359626
vdW-DF,0.125,6000,121.9998,211.422,-0.798064,0.49180408492472943,1.041110811231387
vdW-DF,0.125,6000,121.00019999999999,215.21499999999997,-0.78057,0.49586694898024963,1.0497115769070378
vdW-DF,0.125,6000,90.0,405.827,-0.0597375,0.6666666666666666,1.4112812305340772
vdW-DF,0.125,6000,88.99980000000001,416.102,-0.0172525,0.6741588183344231,1.4271415300716064
vdW-DF,0.125,6000,88.00019999999999,425.688,0.00982126,0.6818166322349268,1.443352523608662
vdW-DF,0.125,6000,84.0,469.627,0.155104,0.7142857142857143,1.5120870327150828
vdW-DF,0.125,6000,82.9998,482.646,0.201397,0.7228933081766463,1.530308636262581
vdW-DF,0.125,6000,79.9998,521.901,0.328514,0.7500018750046876,1.587695353589221
vdW-DF,0.125,6000,76.00019999999999,581.691,0.516379,0.7894716066536668,1.6712496907648529
vdW-DF,0.125,6000,72.0,651.9110000000001,0.724838,0.8333333333333334,1.7641015381675966
vdW-DF,0.125,6000,67.9998,735.989,0.967485,0.8823555363398129,1.8678777106413103
vdW-DF,0.125,6000,64.0002,836.2349999999999,1.24803,0.9374970703216552,1.9846080285384566
vdW-DF,0.125,6000,60.0,956.7629999999999,1.56282,1.0,2.116921845801116
vdW-DF,0.125,6000,58.99998,992.7009999999999,1.66533,1.016949497271016,2.1528026068494763
vdW-DF,0.125,6000,58.000020000000006,1027.3899999999999,1.74638,1.03448240190262,2.189918395684466
