#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0	2000	1.66667	2.41791	-1.56629
0	2000	1.42857	3.4541	-1.17021
0	2000	1.25	4.69382	-0.757648
0	2000	1	7.76678	0.118616
0.03125	2000	5.07937	0.228442	-3.0423
0.03125	2000	3.56548	0.525347	-2.79456
0.03125	2000	2.59725	1.02776	-2.40629
0.03125	2000	2.53968	1.07915	-2.37374
0.03125	2000	2.15433	1.50376	-2.07477
0.03125	2000	1.69312	2.40959	-1.51088
0.03125	2000	1.45125	3.43068	-1.1089
0.03125	2000	1.26984	4.65518	-0.693947
0.03125	2000	1.01587	7.69554	0.191941
0.0625	2000	5.16129	0.22439	-2.98815
0.0625	2000	3.61824	0.513743	-2.73863
0.0625	2000	2.64259	1.02329	-2.35765
0.0625	2000	2.58065	1.07005	-2.32797
0.0625	2000	2.19229	1.49825	-2.03084
0.0625	2000	1.72043	2.40864	-1.45621
0.0625	2000	1.47465	3.41375	-1.05208
0.0625	2000	1.29032	4.6219	-0.629857
0.0625	2000	1.03226	7.62882	0.261407
0.09375	2000	5.2459	0.219954	-2.92515
0.09375	2000	3.66488	0.507717	-2.68363
0.09375	2000	2.68254	1.01736	-2.30479
0.09375	2000	2.62295	1.06485	-2.27173
0.09375	2000	2.22616	1.49561	-1.98175
0.09375	2000	1.74863	2.39716	-1.40474
0.09375	2000	1.49883	3.3799	-0.989527
0.09375	2000	1.31148	4.58633	-0.569993
0.09375	2000	1.04918	7.55776	0.333549
0.125	2000	5.33333	0.213411	-2.86644
0.125	2000	3.7047	0.512295	-2.61414
0.125	2000	2.71999	1.00575	-2.24176
0.125	2000	2.66667	1.05174	-2.21376
0.125	2000	2.25864	1.49442	-1.92521
0.125	2000	1.77778	2.38802	-1.34805
0.125	2000	1.52381	3.36025	-0.933759
0.125	2000	1.33333	4.54122	-0.507739
0.125	2000	1.06667	7.49021	0.400732
0.15625	2000	5.42373	0.213483	-2.80792
0.15625	2000	3.75413	0.503107	-2.56367
0.15625	2000	2.75201	1.00517	-2.18178
0.15625	2000	2.71186	1.03693	-2.15387
0.15625	2000	2.28447	1.49997	-1.85851
0.15625	2000	1.80791	2.39016	-1.29667
0.15625	2000	1.54964	3.33993	-0.868234
0.15625	2000	1.35593	4.50334	-0.442879
0.15625	2000	1.08475	7.42202	0.471772
0.1875	2000	5.51724	0.210858	-2.75174
0.1875	2000	2.75862	1.02908	-2.09784
0.1875	2000	1.83908	2.37359	-1.24948
0.1875	2000	1.57635	3.31278	-0.82042
0.1875	2000	1.37931	4.46175	-0.383351
0.1875	2000	1.10345	7.34376	0.548359
0.21875	2000	5.61404	0.202746	-2.68048
0.21875	2000	3.84079	0.504611	-2.42791
0.21875	2000	2.82724	1.00457	-2.04864
0.21875	2000	2.80702	1.01723	-2.03511
0.21875	2000	2.3492	1.49196	-1.73187
0.21875	2000	1.87135	2.3774	-1.20019
0.21875	2000	1.60401	3.27171	-0.763702
0.21875	2000	1.40351	4.41824	-0.318816
0.21875	2000	1.12281	7.26671	0.609754
0.25	2000	5.71429	0.198053	-2.60964
0.25	2000	3.87332	0.501676	-2.3528
0.25	2000	2.85714	0.996058	-1.98257
0.25	2000	2.85423	0.998141	-1.9845
0.25	2000	2.37394	1.49548	-1.66076
0.25	2000	1.90476	2.36925	-1.13231
0.25	2000	1.63265	3.26396	-0.679534
0.25	2000	1.42857	4.38738	-0.236259
0.25	2000	1.14286	7.19533	0.687588
0.28125	2000	5.81818	0.199708	-2.55691
0.28125	2000	3.94283	0.498743	-2.28238
0.28125	2000	2.90909	0.991102	-1.90988
0.28125	2000	2.89845	0.992371	-1.91419
0.28125	2000	2.40756	1.49091	-1.58295
