section,panel,functional,series,x_he,x,y,y2
source,ALL,,Jupiter_Militzer,,1.4631298248596047,5.712575509221581,
source,ALL,,Jupiter_Militzer,,1.5749789229259512,5.819283855723143,
source,ALL,,Jupiter_Militzer,,1.6868196816563594,5.937270320147635,
source,ALL,,Jupiter_Militzer,,1.798659157412008,6.056991879637195,
source,ALL,,Jupiter_Militzer,,1.9104973501928968,6.178448534191818,
source,ALL,,Jupiter_Militzer,,2.0223490142087632,6.28168669056325,
source,ALL,,Jupiter_Militzer,,2.1342006782246283,6.384924846934681,
source,ALL,,Jupiter_Militzer,,2.2460536252152545,6.486427908241046,
source,ALL,,Jupiter_Militzer,,2.357911704104919,6.580990589287146,
source,ALL,,Jupiter_Militzer,,2.469771707456723,6.672950627735648,
source,ALL,,Jupiter_Militzer,,2.581632352295908,6.764043118651616,
source,ALL,,Jupiter_Militzer,,2.6934968460593716,6.8499303243723855,
source,ALL,,Jupiter_Militzer,,2.805365188747113,6.930612244897958,
source,ALL,,Jupiter_Militzer,,2.917232889947476,7.012161712956063,
source,ALL,,Jupiter_Militzer,,3.0291012326352185,7.092843633481635,
source,ALL,,Jupiter_Militzer,,3.140969575322962,7.173525554007208,
source,ALL,,Jupiter_Militzer,,3.2528468988340222,7.242061809077317,
source,ALL,,Jupiter_Militzer,,3.3647229393703224,7.312333159212493,
source,ALL,,Jupiter_Militzer,,3.4765989799066235,7.382604509347669,
source,ALL,,Jupiter_Militzer,,3.588475661930305,7.45200831195031,
source,ALL,,Jupiter_Militzer,,3.700351702466606,7.522279662085486,
source,ALL,,Jupiter_Militzer,,3.812230308952427,7.58908082209053,
source,ALL,,Jupiter_Militzer,,3.9241089154382465,7.655881982095574,
source,ALL,,Jupiter_Militzer,,4.0359849559745475,7.726153332230749,
source,ALL,,Jupiter_Militzer,,4.147862279485608,7.794689587300859,
source,ALL,,Jupiter_Militzer,,4.259741527458809,7.860623199773369,
source,ALL,,Jupiter_Militzer,,4.3716188509698695,7.929159454843479,
source,ALL,,Jupiter_Militzer,,4.483500664892588,7.991622877185857,
source,ALL,,Jupiter_Militzer,,4.595385686252208,8.04974856186557,
source,ALL,,Jupiter_Militzer,,4.707270707611827,8.107874246545283,
source,ALL,,Jupiter_Militzer,,4.8191550874840665,8.16686747875753,
source,ALL,,Jupiter_Militzer,,4.931039467356306,8.225860710969776,
source,ALL,,Jupiter_Militzer,,5.042924488715924,8.283986395649489,
source,ALL,,Jupiter_Militzer,,5.154807585613404,8.344714722926803,
source,ALL,,Jupiter_Militzer,,5.266691965485643,8.403707955139048,
source,ALL,,Jupiter_Militzer,,5.378575062383123,8.46443628241636,
source,ALL,,Jupiter_Militzer,,5.4904594422553625,8.523429514628607,
source,ALL,,Jupiter_Militzer,,5.602343822127601,8.582422746840852,
source,ALL,,Jupiter_Militzer,,5.71422884348722,8.640548431520566,
source,ALL,,Jupiter_Militzer,,5.8261196382332585,8.690866188407481,
source,ALL,,Jupiter_Militzer,,5.938011074466677,8.740316397761864,
source,ALL,,Jupiter_Militzer,,6.049902510700094,8.789766607116247,
source,ALL,,Jupiter_Militzer,,6.1617939469335115,8.83921681647063,
source,ALL,,Jupiter_Militzer,,6.27368538316693,8.888667025825013,
source,ALL,,Jupiter_Militzer,,6.385576177912967,8.938984782711929,
source,ALL,,Jupiter_Militzer,,6.497467614146386,8.988434992066312,
source,ALL,,Jupiter_Militzer,,6.609359050379803,9.037885201420696,
source,ALL,,Jupiter_Militzer,,6.72125048661322,9.087335410775076,
source,ALL,,Jupiter_Militzer,,6.8331419228466395,9.13678562012946,
source,ALL,,Jupiter_Militzer,,6.945033359080057,9.186235829483843,
source,ALL,,Jupiter_Militzer,,7.056924795313474,9.235686038838226,
source,ALL,,Jupiter_Militzer,,7.1688162315468915,9.28513624819261,
source,ALL,,Jupiter_Militzer,,7.280708309267689,9.333718910014458,
source,ALL,,Jupiter_Militzer,,7.392599104013728,9.384036666901372,
source,ALL,,Jupiter_Militzer,,7.504490540247145,9.433486876255756,
source,ALL,,Jupiter_Militzer,,7.616385183917462,9.478599347947474,
source,ALL,,Jupiter_Militzer,,7.72828175204992,9.521109177041591,
source,ALL,,Jupiter_Militzer,,7.840176395720237,9.566221648733311,
source,ALL,,Jupiter_Militzer,,7.952072963852693,9.60873147782743,
source,ALL,,Jupiter_Militzer,,8.063968890497769,9.65210885445408,
source,ALL,,Jupiter_Militzer,,8.175864175655466,9.696353778613268,
source,ALL,,Jupiter_Militzer,,8.287760102300544,9.739731155239918,
source,ALL,,Jupiter_Militzer,,8.39965538745824,9.783976079399103,
source,ALL,,Jupiter_Militzer,,8.511552597078078,9.825618360960688,
source,ALL,,Jupiter_Militzer,,8.623447240748394,9.870730832652406,
source,ALL,,Jupiter_Militzer,,8.73534316739347,9.914108209279055,
source,ALL,,Jupiter_Militzer,,8.847243584450208,9.951412753177978,
source,ALL,,Jupiter_Militzer,,8.959143360019562,9.989584844609432,
source,ALL,,Jupiter_Militzer,,9.0710437770763,10.026889388508351,
source,ALL,,Jupiter_Militzer,,9.182944194133034,10.064193932407273,
source,ALL,,Jupiter_Militzer,,9.29484396970239,10.102366023838725,
source,ALL,,Jupiter_Militzer,,9.406744386759128,10.139670567737646,
source,ALL,,Jupiter_Militzer,,9.518644803815862,10.176975111636564,
source,ALL,,Jupiter_Militzer,,9.6305452208726,10.214279655535488,
source,ALL,,Jupiter_Militzer,,9.742445637929334,10.251584199434408,
source,ALL,,Jupiter_Militzer,,9.85434541349869,10.28975629086586,
source,ALL,,Jupiter_Militzer,,10.0,10.319748648419145,
source,ALL,,Jupiter_Nettelmann,,0.0563950125841632,3.515800565592519,
source,ALL,,Jupiter_Nettelmann,,0.0702146551463582,3.706635444998827,
source,ALL,,Jupiter_Nettelmann,,0.0875993523800084,3.9293371399751393,
source,ALL,,Jupiter_Nettelmann,,0.1224289736935468,4.122294072086033,
source,ALL,,Jupiter_Nettelmann,,0.1769623824346697,4.3539960732748515,
source,ALL,,Jupiter_Nettelmann,,0.2531224726748298,4.5628822402747495,
source,ALL,,Jupiter_Nettelmann,,0.3547307236562176,4.7582732234352445,
source,ALL,,Jupiter_Nettelmann,,0.4665060506738796,4.964749536178107,
source,ALL,,Jupiter_Nettelmann,,0.5782865095905803,5.164285468660704,
source,ALL,,Jupiter_Nettelmann,,0.6849780491227906,5.3655564962083675,
source,ALL,,Jupiter_Nettelmann,,0.7865748317353545,5.576457301367148,
source,ALL,,Jupiter_Nettelmann,,0.8932580960803642,5.788919692084487,
source,ALL,,Jupiter_Nettelmann,,1.0050590825932206,5.960694103526028,
source,ALL,,Jupiter_Nettelmann,,1.116861993568217,6.12986587236997,
source,ALL,,Jupiter_Nettelmann,,1.2286661875179723,6.2973025461488445,
source,ALL,,Jupiter_Nettelmann,,1.340473588904627,6.460401482265055,
source,ALL,,Jupiter_Nettelmann,,1.4522797073165232,6.625235513446331,
source,ALL,,Jupiter_Nettelmann,,1.5640896746526975,6.784864259432409,
source,ALL,,Jupiter_Nettelmann,,1.6759265844588265,6.908056009052099,
source,ALL,,Jupiter_Nettelmann,,1.7877743995504136,7.016499450618729,
source,ALL,,Jupiter_Nettelmann,,1.899622214642,7.1249428921853575,
